	#	St	MLS #	PST	Area	Address	City	BR	FB	HB	A/D	Pool	Liv Sqft	Yr Built	Acres	Sale Ty	Price	$/Sqft	DOM	CDOM											
	1	A	838659	Mob	27	5181 Forest Glenn Drive	Spring Hill	3	2	0	1,0	No	1,512	1991	0.17	ARMS	$159,900	$105.75	649	649											
	2	A	850012	SF	27	6352 Spring Hill Drive	Spring Hill	2	1	1	0,0	No	884	1969	0.17	ARMS	$180,000	$203.62	260	260											
	3	A	856662	SF	27	6591 Brambleleaf Drive	Spring Hill	2	2	0	1,0	No	958	1986	0.07	ARMS	$185,000	$193.11	7	7											
	4	A	856907	SF	27	11257 Salters Street	Spring Hill	2	2	0	2,0	No	1,320	1985	0.20	ARMS	$249,000	$188.64	5	5											
	5	A	856576	SF	27	7163 Fireside Street	Spring Hill	2	2	0	1,0	No	1,517	1970	0.20	ARMS	$250,000	$164.80	15	15											
	6	A	856454	SF	27	2468 Whispering Pines Court	Spring Hill	2	2	0	2,0	No	1,464	1991	0.10	ARMS	$250,000	$170.77	21	21											
	7	A	853603	SF	27	2508 Landover Boulevard	Spring Hill	3	2	0	2,0	No	1,328	1987	0.20	ARMS	$250,000	$188.25	85	85											
	8	A	854105	SF	27	432 Mistwood Court	Spring Hill	3	2	0	2,0	No	2,114	1999	0.21	ARMS	$259,900	$122.94	116	116											
	9	A	856903	SF	27	15042 Sterling Run	Spring Hill	2	2	0	2,0	No	1,204	1999	0.16	ARMS	$260,000	$215.95	5	5											
	10	A	854732	SF	27	7088 Crown Oaks Drive	Spring Hill	2	2	0	2,0	No	1,702	1987	0.14	ARMS	$275,000	$161.57	85	85											
	11	A	854805	SF	27	2662 Appleleaf Court	Spring Hill	2	2	0	2,0	No	1,681	1990	0.13	ARMS	$279,000	$165.97	86	86											
	12	A	853946	SF	27	1358 Ivydale Road	Spring Hill	3	2	0	2,0	Yes	1,299	1985	0.34	ARMS	$299,900	$230.87	118	118											
