"MLS Number","Original List Price","List Price","Close Price","Beds","Full Baths","Half Baths","Garage Spaces","Pool Private Y/N","Seller Paid Buyer Costs","Heated Area","ADOM","Status","Street Number","Street Name","Legal Subdivision Name","County"
"TB8505780","345000","324999","","3","2","0","2","False","","1976","96","Active","3362","ST IVES","PRISTINE PLACE PH 1","Hernando"
"W7885326","330000","330000","","3","2","0","2","False","","1809","104","Active","4028","BRECKLAND","PRISTINE PLACE PH 1","Hernando"
"TB8370529","359900","339900","","3","2","0","2","False","","1976","494","Active","3355","ABELINE","SPRING HILL","Hernando"
"W7879927","414900","350000","","3","2","0","2","False","","1968","282","Active","3365","INDIAN RIVER","PRISTINE PLACE PH 4","Hernando"
"TB8536380","448700","448700","","3","2","0","2","True","","2004","3","Active","13475","PRINCEWOOD","PRISTINE PLACE PH 4","Hernando"
"TB8527050","449000","449000","","3","2","0","2","True","","1898","26","Active","14074","ANDREW SCOTT","PRISTINE PLACE PH 2","Hernando"
"W7885591","456000","456000","","3","2","0","2","True","","2037","95","Active","13415","BOLTON","PRISTINE PLACE PH 1","Hernando"
"A4665384","569000","539000","","3","2","0","2","True","","1984","327","Active","5688","LEGEND HILLS","SILVERTHORN PH 2B","Hernando"
"TB8521132","329900","329900","","3","2","0","2","False","","1854","13","Pending","6385","INDIA","SPRING HILL UNIT 22","Hernando"
"W7884529","425000","410000","","3","2","0","2","True","","1962","39","Pending","8227","GALGANO","SPRING HILL","Hernando"
"TB8491080","318000","285000","260000","3","2","0","2","False","0","2045","91","Sold","13403","BOLTON","PRISTINE PLACE PH 1","Hernando"
"W7880887","310000","310000","290000","3","2","0","2","False","1000","2026","30","Sold","11201","VALLEY STREAM","WELLINGTON AT SEVEN HILLS PH11","Hernando"
"FC311065","325000","315000","290000","3","2","0","2","True","8700","1733","58","Sold","13463","CANDIA","SPRING HILL UNIT 24","Hernando"
"O6253954","335000","315000","295000","3","2","0","2","False","0","1979","481","Sold","2443","WATERFALL","SPRING HILL","Hernando"
"W7880013","299000","298900","299000","3","2","0","2","False","0","1745","70","Sold","3769","LEMA","SPRING HILL","Hernando"
"TB8514653","329000","329000","300000","3","2","0","2","False","0","1804","6","Sold","3330","CARMEN","SPRING HILL","Hernando"
"O6343571","344999","299999","300000","3","2","0","2","False","0","1971","253","Sold","533","BENT OAK","WELLINGTON AT SEVEN HILLS PH 2","Hernando"
"TB8400965","324900","307000","300000","3","2","0","2","False","0","1808","142","Sold","13337","TUBECK","SPRING HILL","Hernando"
"W7885297","325000","325000","305000","3","2","0","2","True","0","1748","5","Sold","4219","NEWTON","SPRING HILL","Hernando"
"N6139526","345000","315000","305000","3","2","0","2","False","5000","1858","70","Sold","13272","LAWRENCE","SPRING HILL","Hernando"
"TB8457532","345000","325000","318000","3","2","0","2","False","9540","1875","101","Sold","8725","MISSISSIPPI","GLEN LAKES PH 1","Hernando"
"TB8411930","320000","320000","320000","3","2","0","2","False","0","1884","3","Sold","10065","TAY","SPRING HILL UNIT 23","Hernando"
"W7879007","349900","337400","325000","3","2","1","2","True","0","1709","94","Sold","125","CABOT","SPRING HILL UNIT 6","Hernando"
"TB8473748","329990","329990","329990","3","2","0","2","True","0","1779","6","Sold","4563","BAYRIDGE","SPRING HILL","Hernando"
"W7885020","339900","339900","331000","3","2","0","2","True","5000","1929","13","Sold","6125","NANTUCKET","SPRING HILL","Hernando"
"W7882076","339999","332999","340000","3","2","0","2","False","10200","1814","48","Sold","2291","DANFORTH","SPRING HILL","Hernando"
"W7880959","335000","335000","340000","3","2","0","2","False","10200","1964","11","Sold","2220","MALAGA","SPRING HILL","Hernando"
"TB8443390","355000","340000","345000","3","2","0","2","False","0","1978","84","Sold","3010","LACKLAND","SPRING HILL","Hernando"
"W7877835","363900","359900","345000","3","2","0","2","False","6000","2006","43","Sold","5296","SLATER","SPRING HILL","Hernando"
"W7876862","365000","355000","348000","3","2","0","2","False","0","1955","31","Sold","489","TOURNAMENT","LINKS AT SEVEN HILLS","Hernando"
"TB8398046","350000","350000","350000","3","2","1","2","True","7000","1969","16","Sold","4399","DIOR","SPRING HILL","Hernando"
"W7884957","370000","362000","351000","3","2","0","2","True","10860","1802","20","Sold","2510","WHITEWOOD","SPRING HILL","Hernando"
"W7878126","350000","350000","355000","3","2","0","2","False","13762","1913","2","Sold","10066","TAY","SPRING HILL UNIT 23","Hernando"
"GC531363","385000","365000","360000","3","2","0","2","False","7200","2022","89","Sold","13365","CHESAPEAKE","VILLAGES AT AVALON PH 1","Hernando"
"W7878588","379000","369900","365000","3","2","0","2","True","0","1975","79","Sold","1007","ARCHWAY","GOLFERS CLUB ESTATE","Hernando"
"W7878359","360000","360000","370000","3","2","0","2","True","10000","1802","3","Sold","11163","PACO","SPRING HILL UNIT 16","Hernando"
"TB8479971","369900","369900","375000","3","2","0","2","True","1200","1701","2","Sold","5127","FLORENTINE","SPRING HILL","Hernando"
"W7879630","387900","387900","380000","3","2","0","2","True","5000","2010","16","Sold","2113","WATERVIEW","TIMBER PINES","Hernando"
"TB8485429","419900","419900","385000","3","2","0","2","True","0","1941","24","Sold","7348","CLEARMEADOW","TIMBER PINES","Hernando"
