	#										ML #	Status	Address	City	Zip Code	Legal Subdivision Name	Subdivision/Condo Name	SqFt Heated	Current Price	BED	FB	HB	Yr Built	Pool	Property Style	Ownership	Taxes	CDOM	ADOM	DTC	Sold Terms	Close Date	LP / SqFt	SP/SqFt	SP / LP	Office Name	Agent Name	Agent ID	Selling Office ID	LSC List Side	Office Board ID
	1										TB8505780	ACT	3362 ST IVES BLVD	SPRING HILL	34609	PRISTINE PLACE PH 1		1,976	$324,999	3	2	0	1996	None	Single Family Residence	Fee Simple	$4,311.00	96	96				$164.47			HOMAN REALTY GROUP INC	Thomas "TJ" Homan, Jr	262002672		Suncoast Tampa	Suncoast Tampa
	2										W7885326	ACT	4028 BRECKLAND CT	SPRING HILL	34609	PRISTINE PLACE PH 1		1,809	$330,000	3	2	0	1995	Community	Single Family Residence	Fee Simple	$2,450.00	104	104				$182.42			DALTON WADE INC	Jose Perez, LLC	262003587		West Pasco	Suncoast Tampa
	3										TB8370529	ACT	3355 ABELINE RD	SPRING HILL	34608	SPRING HILL		1,976	$339,900	3	2	0	2005	None	Single Family Residence	Fee Simple	$5,491.52	494	494				$172.01			FL REAL ESTATE STORE & PMS	Margaret Adamo	635572246		Suncoast Tampa	Suncoast Tampa
	4										W7879927	ACT	3365 INDIAN RIVER ST	SPRING HILL	34609	PRISTINE PLACE PH 4		1,968	$350,000	3	2	0	2004	Community	Single Family Residence	Fee Simple	$4,782.88	282	282				$177.85			BRIDGE POINT BUSINESS REAL EST	Yvonne Levandowski	262003961		West Pasco	West Pasco
	5										TB8536380	ACT	13475 PRINCEWOOD CT	SPRING HILL	34609	PRISTINE PLACE PH 4		2,004	$448,700	3	2	0	2002	Private	Single Family Residence	Fee Simple	$2,470.68	3	3				$223.90			BEACHES TO RANCHES REALTY	James Saffell	261521917		Suncoast Tampa	Suncoast Tampa
	6										TB8527050	ACT	14074 ANDREW SCOTT RD	SPRING HILL	34609	PRISTINE PLACE PH 2		1,898	$449,000	3	2	0	1997	Private	Single Family Residence	Fee Simple	$4,042.34	26	26				$236.56			HOMAN REALTY GROUP INC	Thomas "TJ" Homan, Jr	262002672		Suncoast Tampa	Suncoast Tampa
	7										W7885591	ACT	13415 BOLTON CT	SPRING HILL	34609	PRISTINE PLACE PH 1		2,037	$456,000	3	2	0	1996	Private	Single Family Residence	Fee Simple	$5,415.29	95	95				$223.86			TROPIC SHORES REALTY LLC	Adam Kruszynski	262003025		West Pasco	West Pasco
	8										A4665384	ACT	5688 LEGEND HILLS LN	SPRING HILL	34609	SILVERTHORN PH 2B		1,984	$539,000	3	2	0	1999	Private, Community	Single Family Residence	Fee Simple	$3,145.90	327	327				$271.67			FLORIDA FIRST GROUND REALTY	Horst Luhn	281532047		Sarasota - Manatee	Sarasota - Manatee
	9										TB8521132	PND	6385 INDIA DR	SPRING HILL	34608	SPRING HILL UNIT 22		1,854	$329,900	3	2	0	2004	None	Single Family Residence	Fee Simple	$1,622.00	13	13	13			$177.94			HOMAN REALTY GROUP INC	Daniel McGraw	262002276		Suncoast Tampa	Suncoast Tampa
	10										W7884529	PND	8227 GALGANO LN	SPRING HILL	34606	SPRING HILL		1,962	$410,000	3	2	0	2006	Private	Single Family Residence	Fee Simple	$2,682.00	39	39	39			$208.97			RE/MAX CHAMPIONS	Keith Mathias	285515247		West Pasco	West Pasco
